"sonnet"	"line"	"term1"	"term2"	"term3"	"term4"	"term5"	"term6"	"term7"	"term8"	"term9"	"term10"	"syllabsperline"
"1"	"sonnet1"	1	1	2	2	1	2	2	NA	NA	NA	NA	10
"2"	"sonnet1"	2	1	2	2	1	1	2	1	NA	NA	NA	10
"3"	"sonnet1"	3	1	1	1	2	1	1	1	2	NA	NA	10
"4"	"sonnet1"	4	1	2	1	1	1	1	3	NA	NA	NA	10
"5"	"sonnet1"	5	1	1	3	1	1	1	1	1	NA	NA	10
"6"	"sonnet1"	6	1	1	1	1	1	1	3	1	NA	NA	10
"7"	"sonnet1"	7	2	1	2	1	3	1	NA	NA	NA	NA	10
"8"	"sonnet1"	8	2	1	1	1	1	1	1	1	1	NA	10
"9"	"sonnet1"	9	1	1	1	1	1	1	1	3	NA	NA	10
"10"	"sonnet1"	10	1	2	2	1	1	2	1	NA	NA	NA	10
"11"	"sonnet1"	11	2	1	1	1	2	1	2	NA	NA	NA	10
"12"	"sonnet1"	12	1	2	1	1	1	1	3	NA	NA	NA	10
"13"	"sonnet1"	13	2	1	1	1	1	1	2	1	NA	NA	10
"14"	"sonnet1"	14	1	1	1	1	1	1	1	1	1	1	10
"15"	"sonnet2"	1	1	2	2	1	2	1	1	NA	NA	NA	10
"16"	"sonnet2"	2	1	1	1	2	1	1	2	1	NA	NA	10
"17"	"sonnet2"	3	1	1	1	3	1	1	1	1	NA	NA	10
"18"	"sonnet2"	4	1	1	1	2	1	1	1	1	1	NA	10
"19"	"sonnet2"	5	1	2	1	1	1	1	2	1	NA	NA	10
"20"	"sonnet2"	6	1	1	1	2	1	1	2	1	NA	NA	10
"21"	"sonnet2"	7	1	1	2	1	1	1	2	1	NA	NA	10
"22"	"sonnet2"	8	1	1	1	2	1	1	2	1	NA	NA	10
"23"	"sonnet2"	9	1	1	1	1	2	1	2	1	NA	NA	10
"24"	"sonnet2"	10	1	1	1	2	1	1	1	1	1	NA	10
"25"	"sonnet2"	11	1	1	1	1	1	1	1	1	2	NA	10
"26"	"sonnet2"	12	2	1	2	1	3	1	NA	NA	NA	NA	10
"27"	"sonnet2"	13	1	1	1	1	1	1	1	1	1	1	10
"28"	"sonnet2"	14	1	1	1	1	1	1	1	1	1	1	10
"29"	"sonnet3"	1	1	1	1	1	1	1	1	1	1	1	10
"30"	"sonnet3"	2	1	1	1	1	1	1	1	1	3	NA	11
